iso2;iso3;isonr;language;name
CG;COG;178;kg;Kikongo
CG;COG;178;ln-CG;Lingala (CG)
CH;CHE;756;de-CH;German (CH)
CH;CHE;756;fr-CH;French (CH)
CH;CHE;756;it-CH;Italian (CH)
CH;CHE;756;rm;Romansh
CI;CIV;384;fr-CI;French (CI)
CK;COK;184;en-CK;English (CK)
CK;COK;184;mi;Maori
CL;CHL;152;es-CL;Spanish\Castilian (CL)
CM;CMR;120;en-CM;English (CM)
CM;CMR;120;fr-CM;French (CM)
CN;CHN;156;zh-CN;Chinese
CN;CHN;156;yue;Yue Chinese
CN;CHN;156;ug;Uighur\Uyghur
CO;COL;170;es-CO;Spanish\Castilian (CO)
CR;CRI;188;es-CR;Spanish\Castilian (CR)
CR;CRI;188;en;English
CU;CUB;192;es-CU;Spanish\Castilian (CU)
CV;CPV;132;pt-CV;Portuguese (CV)
CW;CUW;531;nl;Dutch
CW;CUW;531;pap;Papiamento
CX;CXR;162;ms-CC;Malay (CC)
CX;CXR;162;en;English
CX;CXR;162;zh;Chinese
CY;CYP;196;el-CY;Greek, Modern (CY)
CY;CYP;196;tr-CY;Turkish (CY)
CY;CYP;196;en;English
CZ;CZE;203;cs;Czech
CZ;CZE;203;sk;Slovak
DE;DEU;276;de;German
DJ;DJI;262;aa;Afar
DJ;DJI;262;fr-DJ;French (DJ)
DJ;DJI;262;ar;Arabic
DJ;DJI;262;so-DJ;Somali (DJ)
DK;DNK;208;de-DK;German (DK)
DK;DNK;208;da-DK;Danish
DK;DNK;208;en;English
DK;DNK;208;fo;Faroese
DM;DMA;212;en-DM;English (DM)
DO;DOM;214;es-DO;Spanish\Castilian (DO)
DZ;DZA;12;ar-DZ;Arabic (DZ)
EC;ECU;218;es-EC;Spanish\Castilian (EC)
EE;EST;233;et;Estonian
EE;EST;233;ru;Russian
EG;EGY;818;ar-EG;Arabic (EG)
EG;EGY;818;en;English
EG;EGY;818;fr;French
EH;ESH;732;ar;Arabic
EH;ESH;732;mey;Hassaniyya
ER;ERI;232;aa-ER;Afar (ER)
ER;ERI;232;ar;Arabic
ER;ERI;232;ti-ER;Tigrinya
ER;ERI;232;kun;Kunama
ER;ERI;232;tig;Tigre
ES;ESP;724;es-ES;Spanish\Castilian (ES)
ES;ESP;724;ca;Catalan\Valencian
ES;ESP;724;gl;Galician
ES;ESP;724;eu;Basque
ES;ESP;724;oc;Occitan (post 1500)
ET;ETH;231;am;Amharic
ET;ETH;231;om-ET;Oromo
ET;ETH;231;ti-ET;Tigrinya
ET;ETH;231;so-ET;Somali (ET)
ET;ETH;231;en-ET;English (ET)
ET;ETH;231;sid;Sidamo
FI;FIN;246;fi-FI;Finnish
FI;FIN;246;sv-FI;Swedish (FI)
FI;FIN;246;smn;Inari Sami
FJ;FJI;242;en-FJ;English (FJ)
FJ;FJI;242;fj;Bafanji
FK;FLK;238;en-FK;English (FK)
FM;FSM;583;en-FM;English (FM)
FM;FSM;583;chk;Chuukese
FM;FSM;583;kos;Kosraean
FM;FSM;583;kpg;Kapingamarangi
FM;FSM;583;nkr;Nukuoro
FM;FSM;583;pon;Pohnpeian
FM;FSM;583;uli;Ulithian
FM;FSM;583;woe;Woleaian
FM;FSM;583;yap;Yapese
FO;FRO;234;fo;Faroese
FO;FRO;234;da-FO;Danish (FO)
FR;FRA;250;co_FR;Corsican (IT)
FR;FRA;250;fr-FR;French (FR)
FR;FRA;250;br;Breton
FR;FRA;250;ca;Catalan\Valencian
